state,,deaths
Alabama,Alabama,3572
,Alaska,118
Arizona,Arizona,6568
Arkansas,Arkansas,2436
California,California,19034
Colorado,Colorado,2957
Connecticut,Connecticut,4926
Delaware,Delaware,761
District of Columbia,District Of Columbia,677
Florida,Florida,18255
Georgia,Georgia,9336
Guam,Guam,112
,Hawaii,237
Idaho,Idaho,895
Illinois,Illinois,12596
Indiana,Indiana,5561
Iowa,Iowa,2349
Kansas,Kansas,1503
Kentucky,Kentucky,1835
Louisiana,Louisiana,6350
,Maine,190
Maryland,Maryland,4547
Massachusetts,Massachusetts,10604
Michigan,Michigan,9170
Minnesota,Minnesota,3434
Mississippi,Mississippi,3769
Missouri,Missouri,4033
,Montana,658
,Nebraska,978
Nevada,Nevada,2093
New Hampshire,New Hampshire,514
New Jersey,New Jersey,17051
New Mexico,New Mexico,1469
New York,New York,34389
North Carolina,North Carolina,5138
,North Dakota,897
Ohio,Ohio,6274
Oklahoma,Oklahoma,1680
Oregon,Oregon,882
Pennsylvania,Pennsylvania,10294
Puerto Rico,Puerto Rico,1076
,Rhode Island,1335
South Carolina,South Carolina,4317
South Dakota,South Dakota,849
Tennessee,Tennessee,4519
Texas,Texas,21785
Utah,Utah,834
Vermont,Vermont,64
Virginia,Virginia,4044
Washington,Washington,2721
,West Virginia,712
Wisconsin,Wisconsin,3240
Wyoming,Wyoming,215
